"Month,""Monthly production of chocolate confectionery in Australia: tonnes. July 1957 ? Aug 1995""",
Jul-57,2953
Aug-57,2635
Sep-57,2404
Oct-57,2413
Nov-57,2136
Dec-57,1565
Jan-58,1451
Feb-58,2037
Mar-58,2477
Apr-58,2785
May-58,2994
Jun-58,2681
Jul-58,3098
Aug-58,2708
Sep-58,2517
Oct-58,2445
Nov-58,2087
Dec-58,1801
Jan-59,1216
Feb-59,2173
Mar-59,2286
Apr-59,3121
May-59,3458
Jun-59,3511
Jul-59,3524
Aug-59,2767
Sep-59,2744
Oct-59,2603
Nov-59,2527
Dec-59,1846
Jan-60,1066
Feb-60,2327
Mar-60,3066
Apr-60,3048
May-60,3806
Jun-60,4042
Jul-60,3583
Aug-60,3438
Sep-60,2957
Oct-60,2885
Nov-60,2744
Dec-60,1837
Jan-61,1447
Feb-61,2504
Mar-61,3248
Apr-61,3098
May-61,4318
Jun-61,3561
Jul-61,3316
Aug-61,3379
Sep-61,2717
Oct-61,2354
Nov-61,2445
Dec-61,1542
Jan-62,1606
Feb-62,2590
Mar-62,3588
Apr-62,3202
May-62,4704
Jun-62,4005
Jul-62,3810
Aug-62,3488
Sep-62,2781
Oct-62,2944
Nov-62,2817
Dec-62,1960
Jan-63,1937
Feb-63,2903
Mar-63,3357
Apr-63,3552
May-63,4581
Jun-63,3905
Jul-63,4581
Aug-63,4037
Sep-63,3345
Oct-63,3175
Nov-63,2808
Dec-63,2050
Jan-64,1719
Feb-64,3143
Mar-64,3756
Apr-64,4776
May-64,4540
Jun-64,4309
Jul-64,4563
Aug-64,3506
Sep-64,3665
Oct-64,3361
Nov-64,3094
Dec-64,2440
Jan-65,1633
Feb-65,2935
Mar-65,4159
Apr-65,4159
May-65,4894
Jun-65,4921
Jul-65,4577
Aug-65,4155
Sep-65,3851
Oct-65,3429
Nov-65,3370
Dec-65,2726
Jan-66,1674
Feb-66,3257
Mar-66,4731
Apr-66,4481
May-66,5443
Jun-66,5566
Jul-66,5044
Aug-66,4781
Sep-66,4014
Oct-66,3561
Nov-66,3801
Dec-66,2685
Jan-67,1805
Feb-67,3756
Mar-67,4227
Apr-67,4595
May-67,5702
Jun-67,4681
Jul-67,4395
Aug-67,4459
Sep-67,4191
Oct-67,3742
Nov-67,3279
Dec-67,2468
Jan-68,1742
Feb-68,3366
Mar-68,3633
Apr-68,3701
May-68,4926
Jun-68,4522
Jul-68,5275
Aug-68,4717
Sep-68,4114
Oct-68,3851
Nov-68,3493
Dec-68,2654
Jan-69,2168
Feb-69,3561
Mar-69,4305
Apr-69,4413
May-69,5307
Jun-69,5361
Jul-69,4948
Aug-69,4472
Sep-69,3846
Oct-69,3715
Nov-69,3343
Dec-69,2939
Jan-70,1615
Feb-70,3497
Mar-70,3915
Apr-70,4858
May-70,4962
Jun-70,4504
Jul-70,4767
Aug-70,4291
Sep-70,4091
Oct-70,4164
Nov-70,3915
Dec-70,3130
Jan-71,1696
Feb-71,3887
Mar-71,4749
Apr-71,4781
May-71,5089
Jun-71,5484
Jul-71,5072
Aug-71,4611
Sep-71,4117
Oct-71,3910
Nov-71,4252
Dec-71,3624
Jan-72,1678
Feb-72,3851
Mar-72,5021
Apr-72,4581
May-72,6195
Jun-72,5338
Jul-72,4909
Aug-72,4640
Sep-72,3706
Oct-72,4113
Nov-72,3879
Dec-72,3411
Jan-73,2043
Feb-73,3736
Mar-73,4490
Apr-73,3715
May-73,5623
Jun-73,4671
Jul-73,5591
Aug-73,5461
Sep-73,4795
Oct-73,4846
Nov-73,4843
Dec-73,3278
Jan-74,2411
Feb-74,4278
Mar-74,4639
Apr-74,4559
May-74,6404
Jun-74,4851
Jul-74,6480
Aug-74,6394
Sep-74,5752
Oct-74,4718
Nov-74,4659
Dec-74,3842
Jan-75,2873
Feb-75,5556
Mar-75,5389
Apr-75,6135
May-75,6707
Jun-75,5220
Jul-75,6249
Aug-75,5281
Sep-75,4192
Oct-75,4867
Nov-75,3752
Dec-75,3492
Jan-76,1979
Feb-76,4584
Mar-76,5139
Apr-76,5044
May-76,5501
Jun-76,5044
Jul-76,5035
Aug-76,5167
Sep-76,4650
Oct-76,5298
Nov-76,4373
Dec-76,3941
Jan-77,2334
Feb-77,4381
Mar-77,5665
Apr-77,4393
May-77,5232
Jun-77,5876
Jul-77,5900
Aug-77,5704
Sep-77,4718
Oct-77,4650
Nov-77,4446
Dec-77,3061
Jan-78,2155
Feb-78,4274
Mar-78,4695
Apr-78,4362
May-78,4889
Jun-78,5370
Jul-78,5072
Aug-78,4985
Sep-78,3978
Oct-78,4139
Nov-78,3995
Dec-78,3025
Jan-79,1949
Feb-79,4357
Mar-79,4638
Apr-79,3994
May-79,6174
Jun-79,5656
Jul-79,4411
Aug-79,5504
Sep-79,4463
Oct-79,4458
Nov-79,4528
Dec-79,2830
Jan-80,1843
Feb-80,5042
Mar-80,5348
Apr-80,5257
May-80,6699
Jun-80,5388
Jul-80,6001
Aug-80,5966
Sep-80,4845
Oct-80,4507
Nov-80,4214
Dec-80,3460
Jan-81,1833
Feb-81,4978
Mar-81,6464
Apr-81,5820
May-81,6447
Jun-81,6191
Jul-81,6628
Aug-81,5452
Sep-81,5295
Oct-81,5080
Nov-81,5564
Dec-81,3965
Jan-82,2062
Feb-82,5099
Mar-82,6162
Apr-82,5529
May-82,6416
Jun-82,6382
Jul-82,5624
Aug-82,5785
Sep-82,4644
Oct-82,5331
Nov-82,5143
Dec-82,4596
Jan-83,2180
Feb-83,5786
Mar-83,5840
Apr-83,5666
May-83,6360
Jun-83,6219
Jul-83,6082
Aug-83,5653
Sep-83,5726
Oct-83,5049
Nov-83,5859
Dec-83,4091
Jan-84,2167
Feb-84,6480
Mar-84,7375
Apr-84,6583
May-84,7251
Jun-84,6730
Jul-84,6428
Aug-84,5228
Sep-84,4716
Oct-84,6101
Nov-84,5753
Dec-84,4000
Jan-85,2691
Feb-85,5898
Mar-85,6526
Apr-85,5840
May-85,6650
Jun-85,5717
Jul-85,7236
Aug-85,6523
Sep-85,5729
Oct-85,6004
Nov-85,5950
Dec-85,4690
Jan-86,3687
Feb-86,7791
Mar-86,7153
Apr-86,6434
May-86,7850
Jun-86,6809
Jul-86,8379
Aug-86,6914
Sep-86,6919
Oct-86,7265
Nov-86,6994
Dec-86,5503
Jan-87,3782
Feb-87,7502
Mar-87,8119
Apr-87,7292
May-87,6886
Jun-87,7049
Jul-87,7977
Aug-87,8519
Sep-87,6680
Oct-87,7994
Nov-87,7047
Dec-87,5782
Jan-88,3771
Feb-88,7906
Mar-88,8970
Apr-88,6077
May-88,7919
Jun-88,7340
Jul-88,7807
Aug-88,7382
Sep-88,8269
Oct-88,7820
Nov-88,7483
Dec-88,6700
Jan-89,4487
Feb-89,8288
Mar-89,8872
Apr-89,8580
May-89,9185
Jun-89,8651
Jul-89,8394
Aug-89,9709
Sep-89,7123
Oct-89,9226
Nov-89,8336
Dec-89,7161
Jan-90,3878
Feb-90,7314
Mar-90,8753
Apr-90,7721
May-90,8964
Jun-90,7355
Jul-90,7645
Aug-90,8853
Sep-90,8536
Oct-90,9212
Nov-90,8503
Dec-90,7170
Jan-91,3259
Feb-91,8569
Mar-91,9340
Apr-91,7251
May-91,8077
Jun-91,8213
Jul-91,8093
Aug-91,10045
Sep-91,7881
Oct-91,8409
Nov-91,8162
Dec-91,8086
Jan-92,4534
Feb-92,7356
Mar-92,8709
Apr-92,8191
May-92,8279
Jun-92,8064
Jul-92,9873
Aug-92,9655
Sep-92,9189
Oct-92,9149
Nov-92,8909
Dec-92,8080
Jan-93,5004
Feb-93,8502
Mar-93,9462
Apr-93,8173
May-93,9193
Jun-93,9211
Jul-93,8713
Aug-93,10643
Sep-93,9304
Oct-93,10379
Nov-93,10504
Dec-93,9547
Jan-94,8390
Feb-94,9405
Mar-94,9561
Apr-94,7417
May-94,8621
Jun-94,9145
Jul-94,8858
Aug-94,10748
Sep-94,10552
Oct-94,9827
Nov-94,10402
Dec-94,9503
Jan-95,5853
Feb-95,9334
Mar-95,9875
Apr-95,6495
May-95,8668
Jun-95,9685
Jul-95,10109
Aug-95,11095
,
Monthly production of chocolate confectionery in Australia: tonnes. July 1957 ? Aug 1995,
